stage,idx,SR_LOOKBACK,SR_PIVOT_WINDOW,SR_MERGE_ATR_MULT,ZONE_TOLERANCE_ATR_MULT,total,triggered,coverage,wins_1m,losses_1m,wr_1m,wins_3m,losses_3m,wr_3m,wins_5m,losses_5m,wr_5m,objective
support_resistance,92,70,2,0.3,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,96,70,2,0.5,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,97,70,2,0.5,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,98,70,2,0.5,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,101,70,2,0.8,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,102,70,2,0.8,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,103,70,2,0.8,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,104,70,2,0.8,2.0,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,106,70,3,0.3,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,107,70,3,0.3,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,111,70,3,0.5,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,112,70,3,0.5,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,116,70,3,0.8,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,117,70,3,0.8,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,118,70,3,0.8,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,119,70,3,0.8,2.0,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,121,70,4,0.3,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,122,70,4,0.3,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,126,70,4,0.5,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,127,70,4,0.5,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,131,70,4,0.8,0.6,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,132,70,4,0.8,0.8,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
support_resistance,133,70,4,0.8,1.2,102,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0
